School,Name,avg,r ,h ,hr ,slg% ,ob% ,ops%
Massachusetts,"Pipolo, Thomas 22 Pipolo, Thomas",0.286,3.000,2.000,0.000,0.429,0.500,0.929
Massachusetts,"DiOrio, Frank 20 DiOrio, Frank",0.250,6.000,9.000,0.000,0.306,0.325,0.631
Massachusetts,"Linnane, Keith 4 Linnane, Keith",0.214,2.000,6.000,0.000,0.214,0.241,0.455
Massachusetts,"Evangelista, Brett 3 Evangelista, Brett",0.174,5.000,4.000,0.000,0.261,0.200,0.461
Massachusetts,"Robinson, Dylan 14 Robinson, Dylan",0.143,1.000,1.000,0.000,0.143,0.333,0.476
Massachusetts,"Oliphant, Luke 2 Oliphant, Luke",0.095,4.000,2.000,0.000,0.143,0.240,0.383
Massachusetts,"Videtto, Anthony 10 Videtto, Anthony",0.000,0.000,0.000,0.000,0.000,0.200,0.200
Massachusetts,"Metzdorf, Drew 1 Metzdorf, Drew",0.000,0.000,0.000,0.000,0.000,0.000,0.000
,,,,,,,,
,,,,,,,,
